id,title,context,question,answers,metadata
7ba1e8f4261d3170fcf42e84a81dd749116fae95,Brain,"Another approach to brain function is to examine the consequences of damage to specific brain areas. Even though it is protected by the skull and meninges, surrounded by cerebrospinal fluid, and isolated from the bloodstream by the blood–brain barrier, the delicate nature of the brain makes it vulnerable to numerous diseases and several types of damage. In humans, the effects of strokes and other types of brain damage have been a key source of information about brain function. Because there is no ability to experimentally control the nature of the damage, however, this information is often difficult to interpret. In animal studies, most commonly involving rats, it is possible to use electrodes or locally injected chemicals to produce precise patterns of damage and then examine the consequences for behavior.",What sare the benifts of the blood brain barrir?,"{'text': array(['isolated from the bloodstream'], dtype=object), 'answer_start': array([195])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
936a8460bfffe437b54cf3ec1e825a3b7b5627a1,Brain,"Motor systems are areas of the brain that are directly or indirectly involved in producing body movements, that is, in activating muscles. Except for the muscles that control the eye, which are driven by nuclei in the midbrain, all the voluntary muscles in the body are directly innervated by motor neurons in the spinal cord and hindbrain. Spinal motor neurons are controlled both by neural circuits intrinsic to the spinal cord, and by inputs that descend from the brain. The intrinsic spinal circuits implement many reflex responses, and contain pattern generators for rhythmic movements such as walking or swimming. The descending connections from the brain allow for more sophisticated control.",What do you think with?,"{'text': array(['brain'], dtype=object), 'answer_start': array([467])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
e40737d487964dbcd26a223f2799cf56390a98a8,Brain,"The brain is an organ that serves as the center of the nervous system in all vertebrate and most invertebrate animals. Only a few invertebrates such as sponges, jellyfish, adult sea squirts and starfish do not have a brain; diffuse or localised nerve nets are present instead. The brain is located in the head, usually close to the primary sensory organs for such senses as vision, hearing, balance, taste, and smell. The brain is the most complex organ in a vertebrate's body. In a typical human, the cerebral cortex (the largest part) is estimated to contain 15–33 billion neurons, each connected by synapses to several thousand other neurons. These neurons communicate with one another by means of long protoplasmic fibers called axons, which carry trains of signal pulses called action potentials to distant parts of the brain or body targeting specific recipient cells.",How are neurons connected?,"{'text': array(['synapses'], dtype=object), 'answer_start': array([602])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
a0f8e785a10f6e21e24207d24ba2823162383062,Brain,"The SCN projects to a set of areas in the hypothalamus, brainstem, and midbrain that are involved in implementing sleep-wake cycles. An important component of the system is the reticular formation, a group of neuron-clusters scattered diffusely through the core of the lower brain. Reticular neurons send signals to the thalamus, which in turn sends activity-level-controlling signals to every part of the cortex. Damage to the reticular formation can produce a permanent state of coma.",The body's central biological clock is contained where in the brain?,"{'text': array(['SCN'], dtype=object), 'answer_start': array([4])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
6d753d4a8878b5f5bc496d9a369b8c0b212079a0,Brain,"The brain contains several motor areas that project directly to the spinal cord. At the lowest level are motor areas in the medulla and pons, which control stereotyped movements such as walking, breathing, or swallowing. At a higher level are areas in the midbrain, such as the red nucleus, which is responsible for coordinating movements of the arms and legs. At a higher level yet is the primary motor cortex, a strip of tissue located at the posterior edge of the frontal lobe. The primary motor cortex sends projections to the subcortical motor areas, but also sends a massive projection directly to the spinal cord, through the pyramidal tract. This direct corticospinal projection allows for precise voluntary control of the fine details of movements. Other motor-related brain areas exert secondary effects by projecting to the primary motor areas. Among the most important secondary areas are the premotor cortex, basal ganglia, and cerebellum.",What is at the highest level?,"{'text': array(['the primary motor cortex'], dtype=object), 'answer_start': array([386])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
453e486e9d3b4995886d522f3fcaa74f1dd98096,Party_leaders_of_the_United_States_House_of_Representatives,"Devise Minority Party Strategies. The minority leader, in consultation with other party colleagues, has a range of strategic options that he or she can employ to advance minority party objectives. The options selected depend on a wide range of circumstances, such as the visibility or significance of the issue and the degree of cohesion within the majority party. For instance, a majority party riven by internal dissension, as occurred during the early 1900s when Progressive and ""regular"" Republicans were at loggerheads, may provide the minority leader with greater opportunities to achieve his or her priorities than if the majority party exhibited high degrees of party cohesion. Among the variable strategies available to the minority party, which can vary from bill to bill and be used in combination or at different stages of the lawmaking process, are the following:",How might a strategy for a minority party member vary?,"{'text': array(['visibility or significance of the issue and the degree of cohesion within the majority party'],
      dtype=object), 'answer_start': array([271])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
501c6d9bef93147d28388a6dc304396e8360ac4a,Party_leaders_of_the_United_States_House_of_Representatives,"Second, Democrats have always elevated their minority floor leader to the speakership upon reclaiming majority status. Republicans have not always followed this leadership succession pattern. In 1919, for instance, Republicans bypassed James R. Mann, R-IL, who had been minority leader for eight years, and elected Frederick Gillett, R-MA, to be Speaker. Mann ""had angered many Republicans by objecting to their private bills on the floor;"" also he was a protégé of autocratic Speaker Joseph Cannon, R-IL (1903–1911), and many Members ""suspected that he would try to re-centralize power in his hands if elected Speaker."" More recently, although Robert H. Michel was the Minority Leader in 1994 when the Republicans regained control of the House in the 1994 midterm elections, he had already announced his retirement and had little or no involvement in the campaign, including the Contract with America which was unveiled six weeks before voting day.",Why did the member of the Republican party didn't get elected as speaker by the end of the 20th century?,"{'text': array(['had already announced his retirement and had little or no involvement in the campaign'],
      dtype=object), 'answer_start': array([779])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
8de54272841a54403b32e68a3e022adc1c9bb648,Party_leaders_of_the_United_States_House_of_Representatives,"Provide Campaign Assistance. Minority leaders are typically energetic and aggressive campaigners for partisan incumbents and challengers. There is hardly any major aspect of campaigning that does not engage their attention. For example, they assist in recruiting qualified candidates; they establish ""leadership PACs"" to raise and distribute funds to House candidates of their party; they try to persuade partisan colleagues not to retire or run for other offices so as to hold down the number of open seats the party would need to defend; they coordinate their campaign activities with congressional and national party campaign committees; they encourage outside groups to back their candidates; they travel around the country to speak on behalf of party candidates; and they encourage incumbent colleagues to make significant financial contributions to the party's campaign committee. ""The amount of time that [Minority Leader] Gephardt is putting in to help the DCCC [Democratic Congressional Campaign Committee] is unheard of,"" noted a Democratic lobbyist.""No DCCC chairman has ever had that kind of support.""","What does the D in ""DCCC"" stand for?","{'text': array(['Democratic'], dtype=object), 'answer_start': array([971])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
729b2f29e72eacac73dc471920869636437b6829,Party_leaders_of_the_United_States_House_of_Representatives,"A party's floor leader, in conjunction with other party leaders, plays an influential role in the formulation of party policy and programs. He is instrumental in guiding legislation favored by his party through the House, or in resisting those programs of the other party that are considered undesirable by his own party. He is instrumental in devising and implementing his party's strategy on the floor with respect to promoting or opposing legislation. He is kept constantly informed as to the status of legislative business and as to the sentiment of his party respecting particular legislation under consideration. Such information is derived in part from the floor leader's contacts with his party's members serving on House committees, and with the members of the party's whip organization.",Where do party's whip organization work?,"{'text': array(['the House'], dtype=object), 'answer_start': array([211])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
539472d6b7aae18691c6530ec3d84a970be321c5,Party_leaders_of_the_United_States_House_of_Representatives,"A look at one minority leadership strategy—partisan opposition—may suggest why it might be employed in specific circumstances. The purposes of obstruction are several, such as frustrating the majority party's ability to govern or attracting press and media attention to the alleged ineffectiveness of the majority party. ""We know how to delay,"" remarked Minority Leader Gephardt Dilatory motions to adjourn, appeals of the presiding officer's ruling, or numerous requests for roll call votes are standard time-consuming parliamentary tactics. By stalling action on the majority party's agenda, the minority leader may be able to launch a campaign against a ""do-nothing Congress"" and convince enough voters to put his party back in charge of the House. To be sure, the minority leader recognizes that ""going negative"" carries risks and may not be a winning strategy if his party fails to offer policy alternatives that appeal to broad segments of the general public.",How might stalling backfire against a minority party?,"{'text': array(['carries risks and may not be a winning strategy if his party fails to offer policy alternatives'],
      dtype=object), 'answer_start': array([817])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
